"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 25 06:51:50 UTC 2026","Thu Jun 25 06:51:52 UTC 2026","1970","tests","test_checkout","","","","test_checkout",""
"passed","Thu Jun 25 06:51:52 UTC 2026","Thu Jun 25 06:51:53 UTC 2026","703","tests","test_invalid_login","","","","test_invalid_login",""
"passed","Thu Jun 25 06:51:35 UTC 2026","Thu Jun 25 06:51:36 UTC 2026","72","tests","test_api_users","","","","test_get_users",""
"passed","Thu Jun 25 06:51:53 UTC 2026","Thu Jun 25 06:51:54 UTC 2026","743","tests","test_valid_login","","","","test_valid_login",""
"passed","Thu Jun 25 06:51:46 UTC 2026","Thu Jun 25 06:51:49 UTC 2026","2907","tests","test_cart","","","","test_add_to_cart",""
